scene_name,frame_count,observation_count,mean_masks_per_frame,mean_label_coverage,observed_edges,conflict_edges,pruned_edges,pruned_edge_ratio,reliable_observations,raw_tracks,duplicate_tracks_removed,ambiguous_superpoints_removed,output_instances,multi_view_instances,single_frame_instances,largest_instance_points,review_reasons,representative_frame_id,representative_frame_coverage,overlay_path
scene0084_01,10,51,5.1,0.2943726246046322,59277,2420,460,0.0007050716107514225,20,5,1,1,4,4,0,6768,low_coverage,60,0.5568612258953168,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0084_01/frame60_label_overlay.png
scene0307_02,10,85,8.5,0.36030140419344964,146264,3995,1354,0.0005857607362069353,52,14,3,0,10,9,1,7208,high_instance_count,70,0.48061661437608405,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0307_02/frame70_label_overlay.png
scene0357_00,10,93,9.3,0.5209666902611978,271171,8494,1003,0.001286392202129024,69,13,1,3,11,9,2,18958,high_instance_count,60,0.679210826701357,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0357_00/frame60_label_overlay.png
scene0377_00,10,49,4.9,0.18099962695133148,132654,10823,562,0.000901889796127972,29,7,1,0,6,6,0,24410,low_coverage,80,0.4343402458932762,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0377_00/frame80_label_overlay.png
scene0389_00,10,66,6.6,0.21377522064075097,79194,4459,650,0.000558525766941805,39,6,0,0,6,5,1,30734,low_coverage,20,0.4298158351188654,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0389_00/frame20_label_overlay.png
scene0412_01,10,36,3.6,0.16337873686358534,139746,8895,4477,0.005993860209309829,22,13,7,0,5,3,2,22695,low_coverage,0,0.3365576535557596,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0412_01/frame0_label_overlay.png
scene0426_02,10,51,5.1,0.6193570011988573,101198,3456,245,0.00034502474320301257,30,10,0,1,10,6,4,13586,high_instance_count,20,0.8536381810529537,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0426_02/frame20_label_overlay.png
scene0578_02,10,76,7.6,0.28306008315478015,213318,9146,778,0.0010430534383894612,47,9,3,0,6,3,3,35052,low_coverage,80,0.37039109529639835,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0578_02/frame80_label_overlay.png
scene0606_00,10,115,11.5,0.43620094569431683,102476,4398,566,0.000619306158266643,59,11,1,0,10,9,1,25971,high_instance_count,90,0.6072172163554739,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0606_00/frame90_label_overlay.png
scene0655_01,10,72,7.2,0.5434518001989592,330866,5836,1922,0.0021303716512042917,54,20,5,1,15,8,7,37359,high_instance_count,70,0.7037818207325783,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0655_01/frame70_label_overlay.png
scene0693_02,10,105,10.5,0.5937438622334457,42451,5144,330,0.0011950546465897486,68,11,1,1,10,8,2,4502,high_instance_count,10,0.7658473943985308,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0693_02/frame10_label_overlay.png
scene0697_03,10,45,4.5,0.2359947326803388,35714,282,192,0.0001999000499750125,18,3,0,0,3,3,0,16050,low_coverage,30,0.35474058769513317,docs/visual_checks/dense_ibsp_even48_f10_quality/scene0697_03/frame30_label_overlay.png
