scene_name,method,root,points,segments,mean,median,p90,p99,max,over_1000,over_5000,semantic_weighted_purity,semantic_mean_segment_purity,semantic_mixed_segments,semantic_mixed_segment_ratio,semantic_mixed_point_ratio,instance_weighted_purity,instance_mean_segment_purity,instance_mixed_segments,instance_mixed_segment_ratio,instance_mixed_point_ratio,boundary_mode,boundary_graph_type,boundary_edges,boundary_observed_edges,boundary_conflict_edges,boundary_pruned_edges,boundary_pruned_edge_ratio,boundary_mean_conflict_ratio
scene0011_00,knn_geometry,output/geometric_superpoints_ibsp_v1_geometry_smoke,237360,2974,79.81170141223942,55.0,159.0,383.80999999999995,1068,1,0,0.8425008426019548,0.8349590942463186,862,0.2898453261600538,0.3084428715874621,0.9419405123019885,0.9508419851790738,565,0.18997982515131137,0.22489467475564542,geometry,,1186604,0,0,0,0.0,0.0
scene0011_00,mesh_normal,output/mesh_normal_python_default_3scenes,237360,1620,146.5185185185185,72.0,216.20000000000027,1217.0399999999954,31740,20,2,0.871587462082912,0.8035897561684313,319,0.19691358024691358,0.13004718570947085,0.9998104145601617,0.9998860524647276,1,0.0006172839506172839,0.0018242332322210987,geometry,mesh_normal,1355715,0,0,0,0.0,0.0
scene0011_00,mesh_normal_ibsp,output/mesh_normal_ibsp_sam_k070_3scenes,237360,1627,145.88813767670558,71.0,216.0,1211.1600000000008,31740,20,2,0.8715832490731379,0.8001144140583212,326,0.20036877688998156,0.1300345466801483,0.999793562521065,0.9998685627983335,1,0.0006146281499692685,0.0018242332322210987,ibsp,mesh_normal,1355715,532231,1208,324,0.00023898828293557274,0.001156859565526247
scene0077_00,knn_geometry,output/geometric_superpoints_ibsp_v1_geometry_smoke,92807,1139,81.4811237928007,59.0,166.0,411.15999999999804,702,0,0,0.8412080985270508,0.8482051717646789,306,0.26865671641791045,0.2921977868048746,0.9660047194715916,0.9667693785925177,174,0.1527655838454785,0.17161421013501138,geometry,,463412,0,0,0,0.0,0.0
scene0077_00,mesh_normal,output/mesh_normal_python_default_3scenes,92807,682,136.08064516129033,74.0,226.4999999999999,1246.6599999999873,5037,10,1,0.8662816382384949,0.816999119361343,125,0.18328445747800587,0.13379378710657602,0.9998814744577457,0.9996846432140812,1,0.001466275659824047,0.0004417770211298717,geometry,mesh_normal,529212,0,0,0,0.0,0.0
scene0077_00,mesh_normal_ibsp,output/mesh_normal_ibsp_sam_k070_3scenes,92807,682,136.08064516129033,74.0,226.4999999999999,1246.6599999999873,5037,10,1,0.8662816382384949,0.816999119361343,125,0.18328445747800587,0.13379378710657602,0.9998814744577457,0.9996846432140812,1,0.001466275659824047,0.0004417770211298717,ibsp,mesh_normal,529212,61039,79,22,4.157124177078373e-05,0.0007508861017413437
scene0608_01,knn_geometry,output/geometric_superpoints_ibsp_v1_geometry_smoke,191107,2483,76.96616995569875,54.0,151.80000000000018,354.17999999999984,891,0,0,0.7409147754922635,0.7311374363936403,927,0.37333870318163515,0.3810221498950849,0.9534815574521079,0.9586579482303941,428,0.17237213048731373,0.1932843904200265,geometry,,954202,0,0,0,0.0,0.0
scene0608_01,mesh_normal,output/mesh_normal_python_default_3scenes,191107,1507,126.81287325812873,70.0,209.80000000000018,778.6200000000013,9355,10,3,0.7592866823297943,0.6892469565135668,470,0.31187790311877905,0.2412418174111885,0.9998639505617272,0.9997977196190744,2,0.0013271400132714001,0.0006645491792556002,geometry,mesh_normal,1077573,0,0,0,0.0,0.0
scene0608_01,mesh_normal_ibsp,output/mesh_normal_ibsp_sam_k070_3scenes,191107,1510,126.56092715231789,70.0,209.20000000000027,777.9300000000019,9355,10,3,0.7592709843176859,0.6898646861241671,470,0.31125827814569534,0.2412470500818913,0.999843019878916,0.9997870428266105,2,0.0013245033112582781,0.0006645491792556002,ibsp,mesh_normal,1077573,632523,3487,608,0.0005642309152140969,0.0023868526332080364
